id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
237623,neck pain.,eng,clinical evidence,clin evid (online),1752-8526,2008,_nan_,1/1/08,_nan_,"{""allan i binder""}"
240949,"william h. taft high school project hola, 1985-1986. oea evaluation report.",_nan_,jama,clinical obstetrics and gynecology,0301-5149,0,0,1/1/86,_nan_,"{""brooklyn. office of educational assessment. new york city board of education""}"
245200,osteoporosis in men,eng,arch intern med,archives of internal medicine,0003-9926 (print) 0003-9926,158,2,1/1/98,194,"{""m. galus""}"
245822,[osteoporosis prevention in patients with low energy hip fractures hospitalized in the orthopedic department],dan,ugeskr laeger,ugeskrift for laeger,0041-5782 (print) 0041-5782,164,27,1/1/02,3541-4,"{""c. b. mogensen"",""i. b. jacobsen"",""l. wiboe""}"
246067,comparison of different distal radius dorsal and volar fracture fixation plates: a biomechanical study,eng,j hand surg am,the journal of hand surgery,0363-5023,28,1,1/1/03,94-104,"{""m. a. shah"",""s. f. viegas"",""r. p. morris"",""r. m. patterson"",""d. osada""}"
246204,primary external fixation versus plaster immobilization of the intra-articular unstable distal radial fracture in the elderly,_nan_,aktuelle traumatologie,clin med,1672-0733,34,2,1/1/04,64-70,"{""j. oskam"",""j. h. hegeman"",""j. palen"",""h. j. duis"",""p. a. m. vierhout""}"
246528,complex regional pain syndrome type 1 after fractures of the distal radius: a prospective study of the role of psychological factors,eng,j hand surg br,"journal of hand surgery (edinburgh, scotland)",0266-7681 (print) 0266-7681,30,6,1/1/05,574-80,"{""a. zyluk"",""p. puchalski""}"
247571,anterior olecranon fracture-dislocations of the elbow in children. a report of four cases,eng,j bone joint surg am,the journal of bone and joint surgery. american volume,0021-9355 (print),91,6,1/1/09,1487-90,"{""d. ring"",""r. g. albers"",""t. g. guitton""}"
248064,distal radius fracture arthroscopic intraarticular displacement measurement after open reduction and internal fixation from a volar approach,eng,j orthop sci,journal of orthopaedic science : official journal of the japanese orthopaedic association,0949-2658 (print) 0949-2658,15,4,1/1/10,502-8,"{""t. katayama"",""k. furuta"",""m. akahane"",""h. ono"",""r. fujitani""}"
248075,surgical treatment of pathologic fractures of humerus,eng,injury,injury,0020-1383,41,11,1/1/10,1112-6,"{""b. rossi"",""a. piccioli"",""g. maccauro"",""l. scaramuzzo"",""f. frenos"",""r. capanna""}"
250975,effect of infliximab on the healing of intestinal anastomosis. an experimental study in rats.,eng,int j surg,"international journal of surgery (london, england)",1743-9159,12,9,1/1/14,969-75,"{""konstantinos nastos"",""konstantinos evangelou"",""marilena papaioannou"",""john vlachogiannakos"",""maria gazouli"",""apostolos papalois"",""christos zeglinas"",""ioannis papaconstantinou"",""panagis lykoudis"",""charalampos tzathas"",""anneza yiallourou""}"
252118,bilingual speech: bilateral control?,_nan_,brain and language,chin.j.evid.-based med.,0093-934x,15,1,1/1/82,125-142,"{""h.m. sussman"",""p. franklin"",""t. simon""}"
252990,effects on prolongation of bazett�۪s corrected qt interval of seven second-generation antipsychotics in the treatment of schizophrenia: a meta-analysis,_nan_,journal of psychopharmacology,curr. opin. pediatr.,1385-4046,25,5,1/1/11,646-666,"{""albert k. k. chung"",""siew-eng chua""}"
252998,efficacy and safety of nmda receptor antagonists augmentation therapy for schizophrenia: an updated meta-analysis of randomized placebo-controlled trials,_nan_,journal of psychiatric research,j psychiatr res,0022-3956,47,12,1/1/13,2018-2020,"{""yuki matsuda"",""taro kishi"",""nakao iwata""}"
253149,lifetime risk of suicide in affective disorders,_nan_,the british journal of psychiatry,jama intern med,0007-1250 1472-1465,173,0,1/1/98,185-185,"{""a. s. lee"",""s. davies"",""p. c. naik""}"
254327,evaluation of a workshop on evidence-based medicine for social insurance physicians.,eng,occupational medicine-oxford,scand. j. rheumatol.,0962-7480,58,2,3/1/08,83-7,"{""jos h verbeek"",""rob kok"",""jan l hoving"",""frederieke g schaafsma"",""frank j h van dijk"",""paul b a smits""}"
255382,campfire burns in children: an australian experience.,eng,burns : journal of the international society for burn injuries,burns,0305-4179,28,4,6/1/02,374-8,"{""john f fraser"",""kelvin l choo"",""roy m kimble""}"
255432,pool fencing for preventing drowning in children.,eng,the cochrane database of systematic reviews,cochrane database syst rev,1469-493x,_nan_,2,1/1/00,cd001047,"{""d c thompson"",""f p rivara""}"
257990,an internet-based program to enhance motivation to change in females with symptoms of an eating disorder: a randomized controlled trial,_nan_,european respiratory journal,ann. med.,0340-2592,44,0,1/1/14,1947-1963,"{""hotzel k"",""r "",""von brachel"",""kosfelder j"",""hechler t"",""vocks s"",""rieger e"",""schulte d"",""schmidt u""}"
258108,"impact of seasonality on recruitment, retention, adherence, and outcomes in a web-based smoking cessation intervention: randomized controlled trial",_nan_,focus on alternative and complementary therapies,journal of nutrition in gerontology and geriatrics,0093-934x,15,0,1/1/13,e249-,"{""mushro a"",""niaura r s"",""graham a l"",""cobb n k"",""fang y"",""cha s""}"
258181,internet-delivered exposure and mindfulness based therapy for irritable bowel syndrome--a randomized controlled trial,english,indian journal of physiology and pharmacology,j am acad child adolesc psychiatry,0019-5499,48,6,1/1/10,531-9,"{""perjohan lindfors"",""liselotte jansson"",""brjann ljotsson"",""lisa falk"",""erik hedman"",""christian ruck"",""amanda wibron vesterlund"",""sergej andreewitch"",""nils lindefors"",""gerhard andersson"",""timo hursti""}"
258486,web-based nutrition education intervention improves self-efficacy and self-regulation related to increased dairy intake in college students,english,nederlands tijdschrift voor fysiotherapie,acta neurologica scandinavica,0377-208x,110,11,1/1/10,1723-7,"{""kathy w hosig"",""sharon m nickols-richardson"",""kavita h poddar"",""susan e duncan"",""eileen s anderson""}"
259267,intra-operative change of gastric ph during laparotomic cholecystectomy under general anaesthesia: a prospective case-control study,_nan_,acta cytologica,acta cytol.,jan-47,56,0,1/1/12,40-43,"{""s. dey"",""p. bhattacharyya"",""b. k. biswas"",""b. bhattarai"",""p. bhakta""}"
259367,a comparison of recovery characteristics of sevoflurane and propofol-remifentanil anesthesia in geriatric patients,_nan_,tech coloproctol,techniques in coloproctology,1123-6337 (print) 1123-6337,14,0,1/1/11,208-213,"{""a. erol"",""j. b. celik"",""i. kara"",""a. topal"",""s. guven""}"
259916,single bolus parecoxib attenuates sore throat after laryngeal microsurgery: a randomized double-blind control study,_nan_,cancer treatment reviews,childs nerv syst,0266-7681 (print) 0266-7681,30,0,1/1/14,574-578,"{""k. y. tseng"",""h. f. huang"",""k. i. cheng"",""h. t. hsu"",""p. y. chang"",""y. c. chen"",""i. c. lu""}"
260738,combined use of caudal bupivacaine and rectal diclofenac is not superior to the use of each analgesic regimen alone,_nan_,pharmacoeconomics,klin.psikofarmakol.bul.,1017-7833,21,0,1/1/05,63-66,"{""a. h. samarkandi""}"
260745,droperidol vs metoclopramide for prophylaxis of postoperative nausea and vomiting after breast cancer surgery,_nan_,faseb journal. conference: experimental biology,blood rev.,0195-668x,28,0,1/1/11,141,"{""f. coletta"",""s. d'arienzo"",""p. sansone"",""c. aurilio"",""m. c. pace"",""g. zagaria"",""r. stumbo""}"
260769,practicability and patients' subjective experiences of low-dose spinal anaesthesia using hyperbaric bupivacaine for transanal surgery,_nan_,cancer epidemiology biomarkers and prevention,ann oncol,0277-3732,24,0,1/1/09,827-836,"{""m. d. schmittner"",""a. janke"",""d. g. bussen"",""g. c. beck"",""c. weiss""}"
261121,role of non-opioid analgesic techniques in the management of pain after ambulatory surgery,_nan_,pediatrics,croat.med.j.,0091-6749 (print),100,0,1/1/05,105-109,"{""p. f. white""}"
261329,abstracts from the asent 14th annual meeting,_nan_,plos one,anadolu kardiyol derg,0033-3549,9,3,1/1/12,_nan_,{null}
263027,family care giving in the context of hiv/aids in africa,_nan_,complementary therapies in medicine,journal of nutrition in gerontology and geriatrics,0969-4900,21,1,1/1/13,13-21,"{""j. hunt"",""r. a. powell""}"
264151,"recognizing, naming, and measuring a family intensive care unit syndrome",_nan_,clinical trials,eur j cardiovasc nurs,2115-7863(electronic),2115-8789(print),11,3,1/1/14,435-441
265490,follistatin-like protein 1 regulates chondrocyte proliferation and chondrogenic differentiation of mesenchymal stem cells,eng,ann rheum dis,annals of the rheumatic diseases,mar-67,0,0,1/1/14,_nan_,"{""s. m. smith"",""a. d. marinov"",""r. hirsch"",""d. s. bushnell"",""b. t. campfield"",""h. c. blair"",""y. chaly""}"
265969,osteoarthritis of the thumb carpometacarpal joint in women and occupational risk factors: a case-control study,eng,j hand surg am,the journal of hand surgery,0363-5023,32,4,1/1/07,459-65,"{""j. m. claise"",""s. neel"",""p. catilina"",""l. fontana"",""s. ughetto""}"
267879,the value of routine radiography in patients with knee osteoarthritis consulting primary health care: a study of agreement,eng,eur j gen pract,the european journal of general practice,1381-4788,20,1,1/1/14,6-oct,"{""o. h. simonsen"",""s. t. skou"",""h. thomsen""}"
268361,giant-cell tumour of the knee: the condition of the cartilage after treatment by curettage and cementing,eng,j bone joint surg br,the journal of bone and joint surgery. british volume,0301-620x (print) 0301-620x,89,3,1/1/07,361-5,"{""k. jonsson"",""a. rydholm"",""i. kristiansson"",""d. heinegard"",""f. v. von steyern"",""p. mannfolk""}"
269313,usefulness of a myofascial trigger point injection for groin pain in patients with chronic prostatitis/chronic pelvic pain syndrome: a pilot study,_nan_,haematologica,acad radiol,0093-934x,94,5,_nan_,930-936,"{""yong-kyun kim"",""tae yoong jeong"",""won hyuk chang"",""sang chul lee"",""jeong-gyu yoon"",""dong suk kim""}"
272721,economic evaluation of inhaled nitric oxide in preterm infants undergoing mechanical ventilation,_nan_,pediatrics,pediatrics,1098-4275,124,5,1/1/09,1325-1332,"{""a. m. hibbs"",""d. m. black"",""j. a. f. zupancic"",""a. cnaan"",""p. l. ballard"",""s. r. wadlinger"",""l. palermo"",""w. e. truog"",""r. a. ballard""}"
272806,stress enhances retrieval of drug-related memories in abstinent heroin addicts,eng,neuropsychopharmacology,oral oncol.,0893-133x,35,3,1/1/10,720-6,"{""t. r. kosten"",""l. y. zhao"",""d. h. epstein"",""l. lu"",""j. shi"",""x. y. zhang"",""y. liu"",""x. l. zhang""}"
274083,risk profiles among adolescent nonmedical opioid users in the united states,_nan_,addictive behaviors,addict.behav.,0306-4603,37,8,1/1/12,974-7,"{""b. e. perron"",""q. fu"",""l. t. wu"",""m. g. vaughn""}"
275675,an exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,eng,prev med,preventive medicine,0091-7435,41,2,1/1/05,589-96,"{""j. robinson"",""d. w. smith"",""b. colwell"",""s. l. stevens"",""c. mcmillan""}"
276000,tobacco-related scenes in television dramas for young japanese audiences,eng,tob control,tobacco control,0964-4563,8,3,1/1/99,350,"{""t. sone""}"
276001,[effects of tobacco advertising regulations in various countries],jpn,nihon koshu eisei zasshi,[nihon koshu eisei zasshi] japanese journal of public health,0546-1766 (print) 0546-1766,42,12,1/1/95,1017-28,"{""t. sone""}"
278396,smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,acta obstet gynecol scand,acta obstetricia et gynecologica scandinavica,0001-6349 (print) 0001-6349,92,6,1/1/13,711-5,"{""t. s. mikkola"",""s. vuorento"",""o. ylikorkala"",""m. vaisanen-tommiska"",""p. rahkola-soisalo""}"
280418,designing in the social context: using the social contextual model of health behavior change to develop a tobacco control intervention for teachers in india,english,health education research,blood rev.,0268-1153,28,1,1/1/13,113-129,"{""cara b. ebbeling"",""dhirendra n. sinha"",""glorian c. sorensen"",""harry a. lando"",""mangesh s. pednekar"",""claudia r. pischke"",""prakash c. gupta"",""eve m. nagler"",""mira b. aghi"",""kasisomayajula viswanath""}"
282039,the first case of drug-induced immune hemolytic anemia due to hydrocortisone,_nan_,transfusion,j am acad child adolesc psychiatry,0041-1132,48,9,1/1/08,1925-1929,"{""m. martinengo"",""d. f. ardenghi"",""g. reali"",""g. tripodi""}"
282053,secondary school tobacco policy and prevention curricula in south carolina,eng,nicotine tob res,nicotine & tobacco research : official journal of the society for research on nicotine and tobacco,1462-2203,1,4,1/1/99,341-6,"{""m. w. martin"",""r. saunders"",""s. levin""}"
282987,"multisystemic therapy for social, emotional, and behavioral problems in youth aged 10-17",eng,cochrane database syst rev,cochrane database syst rev,1469-493x,0,4,1/1/05,cd004797,"{""j. h. littell"",""m. popa"",""b. forsythe""}"
283168,[pharmacotherapy for conduct disorder in children and adolescents],heb,harefuah,environ monit assess,1573-2959,151,7,1/1/12,"421-6, 435, 434","{""t. levy"",""y. bloch""}"
283460,extended-release naltrexone plus medical management alcohol treatment in primary care: findings at 15 months,_nan_,journal of substance abuse treatment,acta neurochirurgica. supplementum,0021-4892,43,4,1/1/12,458-462,"{""marc n. gourevitch"",""jennifer mcneely"",""david stevens"",""john rotrosen"",""ellie grossman"",""laura huben"",""marc manseau"",""joshua d. lee""}"
288711,laparoscopic reversal of hartmann's rectosigmoidectomy,_nan_,colorectal disease : the official journal of the association of coloproctology of great britain and ireland,colorectal dis,1462-8910,10,1,1/1/08,81-83,"{""s. slawik"",""a. r. dixon""}"
291020,effects of a three-month combined training program on the cardiopulmonary and muscle strength capacities of type 2 diabetic subjects.,eng,journal of sports medicine & physical fitness,clin psychol rev,0022-4707,53,1,2/1/13,56-64,"{""o serresse"",""c boudreau-lariviere"",""s grelier"",""r zory""}"
292018,"simple steps to fitness. secrets of strength. strength training is as important to weight loss and fitness as aerobic exercise is, but many people ignore it. here's how to get started.",eng,diabetes forecast,diabetes forecast,0095-8301,55,8,8/1/02,98--100,"{""shauna s roberts""}"
292980,changes in the temporomandibular joint disc position after orthognathic surgery.,eng,"oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",oral surg oral med oral pathol oral radiol endod,1528-395x,108,1,7/1/09,15-21,"{""su-gwan kim"",""ji-yeon ahn"",""young-kyun kim"",""jong-wan kim"",""pil-young yun""}"
293974,causes of death in tunisia: estimates of years of life lost. [french],_nan_,eastern mediterranean health journal,the european journal of general practice,1020-3397,20,4,1/1/14,257-264,"{""s hajjem"",""m hsairi"",""n ben mansour"",""h skhiri"",""h aounallah-skhiri""}"
294439,"alcohol-related road traffic injuries in eldoret, kenya",_nan_,east african medical journal,am. j. vet. res.,0012-835x,75,12,1/1/98,708-711,"{""w odero""}"
294719,prehospital hypertonic saline resuscitation attenuates the activation and promotes apoptosis of neutrophils in patients with severe traumatic brain injury.,eng,"shock (augusta, ga.)",shock,1540-0514,40,5,11/1/13,366-74,"{""david b hoyt"",""sandro b rizoli"",""andrew j baker"",""eileen m bulger"",""wolfgang g junger"",""joseph cuschieri"",""shawn g rhind"",""pang n shek""}"
296269,raised intracranial pressure following abdominal closure in a polytrauma patient.,eng,jrsm open,jrsm open,2054-2704,6,1,1/1/15,2.05427E+015,"{""mark h wilson"",""liza chacko"",""susan hendrickson""}"
299297,"employing a youth-led adult-guided framework: ""why drive high?"" social marketing campaign.",_nan_,family & community health,j huazhong univ sci technolog med sci,0160-6379,34,4,10/1/11,319-330,"{""terry-lynne marko"",""tyler watt""}"
299635,the social workers guide to child and adolescent mental health.,_nan_,child & family social work,bundesgesundheitsblatt gesundheitsforschung gesundheitsschutz,1356-7500,16,2,5/1/11,241-242,"{""jo finch""}"
300057,[evidence-based therapy guideline of the german working group on obesity in childhood and adolescence].,ger,"bundesgesundheitsblatt, gesundheitsforschung, gesundheitsschutz",bundesgesundheitsblatt gesundheitsforschung gesundheitsschutz,1437-1588,54,5,5/1/11,584-90,"{""m wabitsch"",""a moss"",""d kunze""}"
302179,using a social communication intervention to improve the social interactions and employment experiences of adolescents with high functioning autism spectrum disorders,english,health technology assessment database,biomed eng online,0021-9533,0,0,1/1/11,3224,"{""beth anne clavenna-deane""}"
302268,review of handbook for working with children and youth: pathways to resilience across cultures and contexts,english,scandinavian journal of gastroenterology,annales francaises d'anesthesie et de reanimation,0022-3956,47,3,1/1/06,230-232,"{""robert j. flynn""}"
302969,adolescent overscheduling: the relationship between levels of participation in scheduled activities and self-reported clinical symptomology,_nan_,int. j. radiat. oncol. biol. phys.,arch phys med rehabil,0360-3016,90,3,1/1/07,18-30,"{""steven g little"",""k angeleque akin-little"",""shari melman""}"
303571,constructing differences: a qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity,_nan_,journal of cardiovascular electrophysiology,johns hopkins med. j.,0956-7135,18,2,1/1/07,142-166,"{""melinda dooly""}"
304082,an evaluation of ultrasound imaging for identification of lumbar intervertebral level.,eng,anaesthesia,anaesthesia,mar-09,57,3,3/1/02,277-80,"{""m p reilly"",""s kuchi"",""g furness""}"
305933,clinical course of patients with aspirin-exacerbated     respiratory disease: can we predict the prognosis?,english,pharmacogenomics,pharmacogenomics,1462-2416,15,4,1/1/14,449-457,"{""choi gs"",""kim jh"",""park hs"",""ye ym"",""kim sh"",""kim je"",""jin hj""}"
307302,neurolymphatische bahnen: neue wissenschaftliche nachweise untermauern die perrin-technik,_nan_,european journal of cancer care,johns hopkins med. j.,0961-5423,14,2,6/1/13,15-oct,"{""raymond n. perrin""}"
309274,factors predicting success and failure for cervical facet radiofrequency denervation: a multi-center analysis,_nan_,supplement: active living research - niche to norm,journal of nutrition in gerontology and geriatrics,0361-073x     1096-4657,32,6,11/1/07,495-503,"{""steven p. cohen"",""giselle mcknight"",""kayode a. williams"",""joshua stream"",""zahid h. bajwa"",""jan j. kraemer"",""robert w. hurley"",""anthony dragovich"",""anthony sireci""}"
313030,"balancing identity, motivation, and internal dialogue in the making of solos: conquering the high wire",english,international journal of qualitative studies in education (qse),ann oncol,9518398,24,6,1/1/11,673-692,"{""carey e. andrzejewski""}"
313584,the effects of cognitive coaching and nonverbal classroom management on teacher efficacy and perceptions of school culture.,english,the british journal of psychiatry,archives of internal medicine,0007-1250 1472-1465,0,0,1/1/98,53,"{""jennifer l. edwards"",""cherie a. lyons"",""marcia e. swords"",""mary s. rogers"",""kathy e. green""}"
314737,[effect of a dialysis solution with icodextrin on ultrafiltration and selected metabolic parameters in patients treated with peritoneal dialysis],_nan_,bioelectromagnetics,neurorehabilitation,1523-536x,141,9,1/1/02,281-5,"{""s. opatrna"",""p. stehlik"",""j. racek"",""jr. opatrny, k."",""v. senft"",""f. sefrna"",""o. topolcan""}"
315926,preventing injuries through interventions for problem drinking: a systematic review of randomized controlled trials,_nan_,nicotine tob res,nicotine & tobacco research : official journal of the society for research on nicotine and tobacco,0020-7292,34,4,1/1/99,609-21,"{""i. roberts"",""e. heitman"",""c. diguiseppi"",""t. dinh-zarr""}"
315951,[procalcitonin as an early marker of sepsis],_nan_,the journals of gerontology: series a: biological sciences and medical sciences,acta radiol,1079-5006,55,6,1/1/06,650-4,"{""o. thuemer"",""s. g. sakka"",""e. huttemann""}"
316114,a review of cyanoacrylate liquid skin protectant and its efficacy on pedal fissures,_nan_,cochrane database syst rev,journal of medical toxicology : official journal of the american college of medical toxicology,1556-9039,2,4,1/1/10,79-85,"{""debashish chakravarthy"",""elizabeth a. hinton"",""tracey c. vlahovic"",""cynthia ann fleck""}"
316632,when is carotid angioplasty and stenting the cost-effective alternative for revascularization of symptomatic carotid stenosis? a canadian health system perspective,_nan_,j okla state med assoc,the journal of the oklahoma state medical association,0030-1876 (print) 0030-1876,35,2,1/1/14,327-32,"{""m. goyal"",""s. wiebe"",""m. d. hill"",""f. m. clement"",""j. h. wong"",""m. a. almekhlafi"",""d. yavin""}"
317155,predictors of intention to adhere to physiotherapy among women with urinary incontinence.,_nan_,bioelectromagnetics,paediatr child health,1520-7714,0,0,_nan_,_nan_,{null}
318542,pneumonia and encephalopathy in a patient with progressing parkinson's disease and dementia,_nan_,critical care nursing quarterly,foot & ankle international,0893-133x,35,2,1/1/12,160-172,"{""s. livesay"",""s.d. ruppert""}"
318931,community associated methicillin-resistant staphylococcus aureus in hiv-infected patients,_nan_,aids reviews,diabetes technol. ther.,1139-6121,12,3,1/1/10,153-163,"{""m. pujol"",""p. barrag��n"",""j.m. tiraboschi"",""a. imaz"",""m.́. dom�_nguez"",""d. podzamczer""}"
320139,impact of second-line drug resistance on tuberculosis treatment outcomes in the united states: mdr-tb is bad enough,english,european journal of heart failure,eur. j. heart fail.,1879-0844,16,10,1/1/12,1331-4,"{""j. p. cegielski"",""s. p. althomsons""}"
321660,tuberculosis and high altitude. worth a try in extensively drug-resistant tuberculosis?,english,plos one,eur. j. heart fail.,13598546,189,4,1/1/14,390-3,"{""j. f. murray""}"
322953,psychometric validation of the growth and empowerment measure (gem) applied with indigenous australians,_nan_,australian and new zealand journal of psychiatry,mycoses,apr-74,44,9,1/1/10,791-799,"{""komla tsey"",""melissa r haswell"",""lyndon reilly"",""david kavanagh"",""chris doran"",""arlene laliberte"",""andrew wilson"",""yvonne cadet-james""}"
323305,process of construction of an educational booklet for health promotion of pregnant women,_nan_,revista latino-americana de enfermagem,rev lat am enfermagem,0104-1169,20,1,1/1/12,101-108,"{""luiza akiko komura hoga"",""ana luisa zaniboni gomes"",""luciana magnoni reberte""}"
323860,women's sexuality in the south african constitutional court,english,feminist legal studies,annales francaises d'anesthesie et de reanimation,09663622 (issn),14,3,1/1/06,391-406,"{""e. bonthuys""}"
325081,_nan_,_nan_,"basic rights: subsistence, affluence and u.s. foreign policy",eur j appl physiol occup physiol,0098-4108 (print)     0098-4108 (linking),0,0,1/1/96,_nan_,"{""h. shue""}"
326944,plasma concentration of asymmetric dimethylarginine and the risk of coronary heart disease: rationale and design of the multicenter cardiac study.,eng,atherosclerosis. supplements,atheroscler suppl,1567-5688,4,4,12/1/03,29-32,"{""andreas m���_gge"",""christoph hanefeld"",""rainer h b���ger"",""[collective name] cardiac study investigators""}"
327157,effect of qva149 on lung volumes and exercise tolerance in copd patients: the bright study,_nan_,respiratory medicine,epilepsy res.,0033-3549,108,4,1/1/14,584-92,"{""jutta beier"",""peter d'andrea"",""michelle henley"",""stephanie korn"",""kai-michael beeh"",""donald banerji"",""dalal jadayel""}"
330553,multiresistance of clinically relevant gram-positive cocci,_nan_,intensivmedizin und notfallmedizin,j huazhong univ sci technolog med sci,0175-3851,34,7,1/1/97,655-663,"{""g. peters"",""k. becker"",""c. von eiff""}"
332032,air pollution and risk of urinary bladder cancer in a case-control study in spain,_nan_,occupational and environmental medicine,occup environ med,1470-7926,65,1,1/1/08,56-60,"{""nuria malats"",""alfredo carrato"",""manolis kogevinas"",""nathaniel rothman"",""consol serra"",""reina garcia-closas"",""debra silverman"",""adonina tardon"",""kenneth p. cantor"",""mustafa dosemeci"",""gemma castano-vinyals"",""roel vermeulen""}"
332926,poverty is the main environmental factor for obesity in a mexican-border city,_nan_,journal of health care for the poor and underserved,j health care poor underserved,1049-2089,24,2,1/1/13,556-65,"{""montserrat bacardi-gascon"",""arturo jimenez-cruz"",""lidia m. castaneda-gonzalez""}"
333862,general public's and physicians' perception of health risk associated with radon exposure in the state of azad jammu and kashmir,_nan_,"public health nursing (boston, mass.)",public health nurs,0737-1209,25,4,1/1/08,327-35,"{""muhammad rafique"",""m. ikram shahzad"",""shahida jabeen""}"
334681,teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,_nan_,journal of the american geriatrics society,j.am.geriatr.soc.,feb-14,61,7,1/1/13,1182-7,"{""jamehl l. demons"",""jeff d. williamson"",""kathryn e. callahan"",""james lovato"",""janice s. lawlor"",""hal h. atkinson"",""ann lambros"",""franklin s. watkins"",""kaycee m. sink"",""brooke r. davis"",""mary f. lyles""}"
335521,overweight and obesity in young and middle age and early retirement: the aric study,_nan_,"obesity (silver spring, md.)",obesity (silver spring),1930-7381,17,1,1/1/09,143-9,"{""jianwen cai"",""june stevens"",""denise k. houston""}"
338547,new therapies in soft tissue sarcoma,_nan_,expert opinion on emerging drugs,expert opin emerg drugs,1744-7623,15,2,1/1/10,237-48,"{""bruno vincenzi"",""daniele santini"",""giuseppe tonini"",""anna maria frezza""}"
340222,a comparative evaluation of two head and neck immobilization devices using electronic portal imaging,_nan_,the british journal of radiology,annales francaises d'anesthesie et de reanimation,0929-693x,79,938,1/1/06,158-61,"{""k. fleming"",""k. donato"",""k. leszczynski""}"
343395,comprehensive multidisciplinary patient assessment and selection before tavi procedure.,eng,minerva cardioangiologica,minerva cardioangiol,1827-1618,62,2,4/1/14,177-91,"{""a rezq"",""d covello"",""c godino"",""m montorfano"",""a colombo""}"
345575,transapical aortic valve implantation in 175 consecutive patients: excellent outcome in very high-risk patients.,eng,journal of the american college of cardiology,j. am. coll. cardiol.,1558-3597,56,10,8/31/10,813-20,"{""tom gromann"",""roland hetzer"",""alexander mladenow"",""thorsten drews"",""semih buz"",""axel unbehaun"",""stephan dreysse"",""miralem pasic"",""marian kukucka""}"
346326,ventricular fibrillation in acute mitral valve insufficiency caused by chordae tendineae rupture: report of a surgically corrected case.,eng,j cardiovasc med (hagerstown),"journal of cardiovascular medicine (hagerstown, md.)",1558-2027,10,3,3/1/09,261-3,"{""giovanni teodori"",""marta leverone"",""eraldo occhetta"",""miriam bortnik"",""paolo marino"",""marco marcolongo""}"
347144,interatrial conduction measured during biventricular pacemaker implantation accurately predicts optimal paced atrioventricular intervals.,eng,journal of cardiovascular electrophysiology,j. cardiovasc. electrophysiol.,1540-8167,18,3,3/1/07,290-5,"{""abdi rasekh"",""jie cheng"",""ali massumi"",""michael r ujhelyi"",""vadim levin"",""mehdi razavi"",""james a coles"",""margit nemeth"",""ilyas colombowala""}"
348006,ultrasonically enhanced vancomycin activity against staphylococcus epidermidis biofilms in vivo.,eng,journal of biomaterials applications,j biomater appl,0885-3282,18,4,4/1/04,237-45,"{""r a robison"",""j l nelson"",""b l roeder"",""b l beckstead"",""g b schaalje"",""j c carmen"",""w g pitt"",""c m runyan""}"
348813,experience in one centre using the buttoned device for occlusion of atrial septal defect: comparison with the amplatzer septal occluder.,eng,cardiol young,cardiology in the young,1047-9511,10,5,9/1/00,527-33,"{""g vaksmann"",""a vincentelli"",""c francart"",""m a cajot"",""g m brevi̬re"",""f godart"",""j m coullet"",""p devos"",""c rey""}"
349150,the relationship between capsulorhexis size and anterior chamber depth relation.,eng,ophthalmic surgery and lasers,ophthalmic surg lasers,1082-3069,30,3,3/1/99,185-90,"{""o ceki̤"",""c batman""}"
351534,implementing participatory intervention and research in communities: lessons from the kahnawake schools diabetes prevention project in canada,english,social science and medicine,"american journal of critical care : an official publication, american association of critical-care nurses",1715-5258,56,6,1/1/03,1295-1305,"{""t delormier"",""a c macaulay"",""m cargo"",""a m mccomber"",""l potvin""}"
351700,our health counts -- unmasking health and social disparities among urban aboriginal people in ontario.,english,"dissertation abstracts international, a: the humanities and social sciences",respirology,1440-1843,0,0,_nan_,_nan_,"{""michelle firestone""}"
351877,community nursing issues in maori mental health.,_nan_,australian & new zealand journal of mental health nursing,aust nz j ment health nurs,1324-3780,5,2,6/1/96,54-62,"{""a street"",""c walsh""}"
352040,usefulness of a survey on underage drinking in a rural american indian community health clinic,_nan_,american indian and alaska native mental health research: the journal of the national center,world journal for pediatric & congenital heart surgery,1533-7731,20,2,1/1/13,26-jan,"{""joel w. grube"",""juan a. luna"",""david a. gilder"",""jennifer roberts"",""daniel calac"",""cindy l. ehlers"",""roland s. moore""}"
353972,"child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in ibadan, nigeria.",_nan_,vulnerable children and youth studies,expert opinion on drug metabolism & toxicology,1745-0128 1745-0136,3,3,1/1/08,243-248,"{""b o olley""}"
355078,use of episiotomy in the united states,eng,birth,neurorehabilitation,1523-536x,29,1,1/1/02,74-6,"{""m. c. klein""}"
